Time (min),Beam (Volts),,T2,R2,Transmission,Reflection
0.370056657,0.000532576,5.32576E-10,9.62E-12,6.90241E-12,0.018067557,0.012960427
0.457663099,0.000534477,5.34477E-10,9.94E-12,7.1412E-12,0.018592796,0.013361101
0.545135927,0.000530016,5.30016E-10,1.00E-11,7.06834E-12,0.018904697,0.013336083
0.632651194,0.00053271,5.3271E-10,9.96E-12,6.74192E-12,0.018696903,0.0126559
0.720673947,0.000532808,5.32808E-10,1.03E-11,7.19674E-12,0.019338918,0.013507204
0.808361316,0.000530685,5.30685E-10,1.02E-11,6.84979E-12,0.019207047,0.012907458
0.896411649,0.000531416,5.31416E-10,9.88E-12,6.66227E-12,0.018584014,0.012536834
0.983932483,0.000534211,5.34211E-10,9.47E-12,7.00541E-12,0.017728214,0.013113549
1.071885951,0.000529605,5.29605E-10,9.37E-12,7.17832E-12,0.017696076,0.013554091
1.159544237,0.00053307,5.3307E-10,9.89E-12,6.91924E-12,0.018559261,0.012979974
1.247274029,0.000535572,5.35572E-10,9.93E-12,7.0473E-12,0.018549742,0.013158447
1.334607085,0.000531057,5.31057E-10,9.60E-12,7.01182E-12,0.018075379,0.013203514
1.422461275,0.000530091,5.30091E-10,9.85E-12,7.63215E-12,0.018588194,0.014397809
1.509789828,0.00053382,5.3382E-10,9.93E-12,6.79391E-12,0.018608738,0.012726969
1.59728748,0.000533433,5.33433E-10,9.87E-12,6.9068E-12,0.018505483,0.012947831
1.685499148,0.000533957,5.33957E-10,1.04E-11,7.00379E-12,0.019490779,0.013116778
1.772293385,0.000533426,5.33426E-10,9.39E-12,7.19135E-12,0.017611597,0.013481418
1.859701618,0.000531326,5.31326E-10,9.49E-12,7.03562E-12,0.017863522,0.013241617
1.947790233,0.000537222,5.37222E-10,1.00E-11,7.50503E-12,0.01867304,0.013970071
2.035220631,0.000534598,5.34598E-10,9.97E-12,7.07839E-12,0.018646762,0.013240564
2.122952318,0.000533954,5.33954E-10,9.71E-12,7.296E-12,0.018191358,0.013664096
2.209921356,0.000533275,5.33275E-10,9.94E-12,6.83863E-12,0.018632613,0.012823836
2.297823902,0.000531143,5.31143E-10,1.01E-11,7.64474E-12,0.018968423,0.014393
2.385587017,0.000533689,5.33689E-10,9.87E-12,7.16997E-12,0.018494149,0.01343474
