TimeH,R1H,T1H,R2H,T2H,TimeI,R1I,T1I,R2I,T2I
17.93076968,1.03E-11,2.55E-05,1.02E-11,2.72E-05,17.98848605,1.13E-11,1.64E-11,1.40E-11,2.41E-11
18.88856506,1.00E-11,2.60E-05,1.11E-11,2.63E-05,18.95014262,1.13E-11,1.46E-11,1.41E-11,2.47E-11
19.90437651,1.01E-11,2.55E-05,1.13E-11,2.66E-05,19.91140413,1.09E-11,1.57E-11,1.33E-11,2.50E-11
20.88547945,1.06E-11,2.46E-05,1.02E-11,2.73E-05,20.85414672,1.13E-11,1.47E-11,1.34E-11,2.48E-11
21.86365366,1.12E-11,2.27E-05,1.01E-11,2.78E-05,21.8465426,1.20E-11,1.33E-11,1.41E-11,2.48E-11
22.85984588,1.11E-11,2.40E-05,1.02E-11,2.87E-05,22.7974124,1.15E-11,1.53E-11,1.41E-11,2.50E-11
23.83113647,1.13E-11,2.45E-05,1.05E-11,2.79E-05,23.76857233,1.02E-11,1.68E-11,1.44E-11,2.47E-11
24.83538151,1.03E-11,2.81E-05,1.05E-11,2.78E-05,24.73179936,1.03E-11,1.74E-11,1.54E-11,2.43E-11
25.82679963,9.76E-12,2.84E-05,1.02E-11,2.77E-05,25.69429731,1.14E-11,1.55E-11,1.47E-11,2.46E-11
26.81386161,1.01E-11,2.87E-05,9.76E-12,2.71E-05,26.66718102,1.10E-11,1.56E-11,1.48E-11,2.43E-11
27.79201102,1.08E-11,2.72E-05,9.98E-12,2.76E-05,27.63726044,1.04E-11,1.53E-11,1.46E-11,2.46E-11
28.76975083,1.03E-11,2.41E-05,1.13E-11,2.86E-05,28.57831883,1.11E-11,1.50E-11,1.56E-11,2.50E-11
29.75654364,9.99E-12,2.44E-05,1.17E-11,2.86E-05,29.56035852,1.09E-11,1.60E-11,1.38E-11,2.49E-11
30.73743248,1.09E-11,2.73E-05,1.13E-11,2.79E-05,30.56265187,1.06E-11,1.56E-11,1.37E-11,2.42E-11
31.72514486,1.06E-11,2.65E-05,1.14E-11,2.70E-05,31.51885104,1.04E-11,1.63E-11,1.41E-11,2.39E-11
32.69571757,9.88E-12,2.64E-05,1.09E-11,2.76E-05,32.50124383,1.08E-11,1.49E-11,1.39E-11,2.50E-11
33.66257358,9.89E-12,2.66E-05,1.03E-11,2.77E-05,33.45334721,1.15E-11,1.38E-11,1.36E-11,2.46E-11
34.62102795,1.07E-11,2.60E-05,1.09E-11,2.76E-05,34.44660354,1.09E-11,1.42E-11,1.38E-11,2.42E-11
35.61905694,1.02E-11,2.31E-05,1.01E-11,2.61E-05,35.41818762,1.12E-11,1.46E-11,1.43E-11,2.48E-11
36.58585119,1.07E-11,2.50E-05,1.05E-11,2.57E-05,36.37901545,1.13E-11,1.44E-11,1.43E-11,2.48E-11
37.57283807,1.08E-11,2.65E-05,1.09E-11,2.68E-05,37.32228971,1.09E-11,1.54E-11,1.44E-11,2.45E-11
38.5300138,1.12E-11,2.60E-05,1.12E-11,2.78E-05,38.30467057,1.02E-11,1.52E-11,1.44E-11,2.47E-11
39.51130652,1.13E-11,2.62E-05,1.11E-11,2.82E-05,39.26669168,1.09E-11,1.61E-11,1.38E-11,2.46E-11
40.48907781,1.07E-11,2.76E-05,1.12E-11,2.74E-05,40.2277081,1.18E-11,1.58E-11,1.38E-11,2.48E-11
41.46037197,1.05E-11,2.72E-05,1.05E-11,2.79E-05,41.17080426,1.22E-11,1.71E-11,1.40E-11,2.54E-11
42.46793056,1.04E-11,2.55E-05,1.03E-11,2.74E-05,42.14216733,1.15E-11,1.70E-11,1.42E-11,2.51E-11
43.43825436,1.01E-11,2.40E-05,1.01E-11,2.60E-05,43.11243081,1.04E-11,1.57E-11,1.43E-11,2.52E-11
44.42599654,9.84E-12,2.50E-05,9.82E-12,2.64E-05,44.08358359,9.77E-12,1.61E-11,1.38E-11,2.45E-11
45.41343665,1.02E-11,2.67E-05,1.04E-11,2.79E-05,45.04489756,1.03E-11,1.63E-11,1.36E-11,2.43E-11
46.36346602,1.08E-11,2.58E-05,9.53E-12,2.81E-05,45.99574637,1.10E-11,1.56E-11,1.35E-11,2.42E-11
47.36149502,1.16E-11,2.64E-05,1.02E-11,2.75E-05,46.93865776,1.15E-11,1.63E-11,1.38E-11,2.37E-11
48.32898688,1.06E-11,2.70E-05,9.95E-12,2.84E-05,47.9303751,1.20E-11,1.58E-11,1.37E-11,2.41E-11
49.31780314,1.10E-11,2.61E-05,1.07E-11,2.87E-05,48.90118551,1.14E-11,1.50E-11,1.43E-11,2.47E-11
50.29492736,1.11E-11,2.62E-05,1.14E-11,2.77E-05,49.86276174,1.11E-11,1.66E-11,1.43E-11,2.45E-11
51.27498913,9.96E-12,2.49E-05,1.19E-11,2.83E-05,50.80531669,1.17E-11,1.71E-11,1.40E-11,2.34E-11
52.28227711,1.05E-11,2.61E-05,1.04E-11,2.86E-05,51.77650738,1.15E-11,1.67E-11,1.46E-11,2.45E-11
53.24308205,1.10E-11,2.73E-05,1.04E-11,2.89E-05,52.75991392,1.12E-11,1.71E-11,1.47E-11,2.54E-11
54.24023652,1.01E-11,2.58E-05,1.02E-11,2.81E-05,53.71205664,1.26E-11,1.68E-11,1.46E-11,2.53E-11
55.20144844,1.05E-11,2.73E-05,1.08E-11,2.72E-05,54.67243433,1.11E-11,1.70E-11,1.44E-11,2.61E-11
56.15900254,9.85E-12,2.60E-05,1.13E-11,2.75E-05,55.65257239,1.04E-11,1.50E-11,1.40E-11,2.47E-11
57.13007903,1.05E-11,2.79E-05,1.05E-11,2.69E-05,56.60690188,1.12E-11,1.55E-11,1.46E-11,2.45E-11
58.12093115,1.01E-11,2.85E-05,9.88E-12,2.64E-05,57.56223822,1.10E-11,1.74E-11,1.49E-11,2.48E-11
59.09824848,1.06E-11,2.76E-05,1.12E-11,2.72E-05,58.50229931,1.10E-11,1.81E-11,1.50E-11,2.46E-11
60.07610202,1.06E-11,2.78E-05,1.10E-11,2.78E-05,59.47564554,1.15E-11,1.63E-11,1.47E-11,2.36E-11
61.05322146,1.09E-11,2.72E-05,1.01E-11,2.78E-05,60.45004082,1.13E-11,1.62E-11,1.42E-11,2.42E-11
62.00611138,1.13E-11,2.61E-05,9.85E-12,2.74E-05,61.41178393,1.15E-11,1.50E-11,1.47E-11,2.40E-11
62.99265313,1.04E-11,2.53E-05,1.04E-11,2.76E-05,62.3822875,1.14E-11,1.58E-11,1.50E-11,2.42E-11
63.98227191,1.10E-11,2.65E-05,1.07E-11,2.80E-05,63.34271717,1.14E-11,1.58E-11,1.51E-11,2.42E-11
64.95003819,1.00E-11,2.81E-05,9.32E-12,2.72E-05,64.314821,1.08E-11,1.54E-11,1.44E-11,2.45E-11
65.94794416,1.07E-11,2.78E-05,9.57E-12,2.63E-05,65.26751161,1.05E-11,1.55E-11,1.40E-11,2.50E-11
66.92883611,1.11E-11,2.55E-05,1.03E-11,2.66E-05,66.23960471,1.06E-11,1.68E-11,1.44E-11,2.49E-11
67.89687943,1.12E-11,2.52E-05,9.57E-12,2.71E-05,67.19365096,1.09E-11,1.57E-11,1.47E-11,2.50E-11
